"pathway_id","count","pathway_name"
"hsa04623",22,"Cytosolic DNA-sensing pathway - Homo sapiens (human)"
"hsa04727",22,"GABAergic synapse - Homo sapiens (human)"
"hsa05032",22,"Morphine addiction - Homo sapiens (human)"
"hsa05134",22,"Legionellosis - Homo sapiens (human)"
"hsa05211",22,"Renal cell carcinoma - Homo sapiens (human)"
"hsa05414",22,"Dilated cardiomyopathy - Homo sapiens (human)"
"hsa00562",21,"Inositol phosphate metabolism - Homo sapiens (human)"
"hsa03250",21,"Viral life cycle - HIV-1 - Homo sapiens (human)"
"hsa04137",21,"Mitophagy - animal - Homo sapiens (human)"
"hsa04146",21,"Peroxisome - Homo sapiens (human)"
"hsa04330",21,"Notch signaling pathway - Homo sapiens (human)"
"hsa04929",21,"GnRH secretion - Homo sapiens (human)"
"hsa04931",21,"Insulin resistance - Homo sapiens (human)"
"hsa04970",21,"Salivary secretion - Homo sapiens (human)"
"hsa05133",21,"Pertussis - Homo sapiens (human)"
"hsa05223",21,"Non-small cell lung cancer - Homo sapiens (human)"
"hsa05322",21,"Systemic lupus erythematosus - Homo sapiens (human)"
"hsa05410",21,"Hypertrophic cardiomyopathy - Homo sapiens (human)"
"hsa05412",21,"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"
"hsa01524",20,"Platinum drug resistance - Homo sapiens (human)"
"hsa04211",20,"Longevity regulating pathway - Homo sapiens (human)"
"hsa04725",20,"Cholinergic synapse - Homo sapiens (human)"
"hsa04916",20,"Melanogenesis - Homo sapiens (human)"
"hsa05144",20,"Malaria - Homo sapiens (human)"
"hsa05214",20,"Glioma - Homo sapiens (human)"
"hsa01200",19,"Carbon metabolism - Homo sapiens (human)"
"hsa01230",19,"Biosynthesis of amino acids - Homo sapiens (human)"
"hsa01232",19,"Nucleotide metabolism - Homo sapiens (human)"
"hsa01521",19,"EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)"
"hsa03018",19,"RNA degradation - Homo sapiens (human)"
"hsa04012",19,"ErbB signaling pathway - Homo sapiens (human)"
"hsa04520",19,"Adherens junction - Homo sapiens (human)"
"hsa04713",19,"Circadian entrainment - Homo sapiens (human)"
"hsa04740",19,"Olfactory transduction - Homo sapiens (human)"
"hsa04750",19,"Inflammatory mediator regulation of TRP channels - Homo sapiens (human)"
"hsa04920",19,"Adipocytokine signaling pathway - Homo sapiens (human)"
"hsa05150",19,"Staphylococcus aureus infection - Homo sapiens (human)"
"hsa05217",19,"Basal cell carcinoma - Homo sapiens (human)"
"hsa03008",18,"Ribosome biogenesis in eukaryotes - Homo sapiens (human)"
"hsa04672",18,"Intestinal immune network for IgA production - Homo sapiens (human)"
"hsa04726",18,"Serotonergic synapse - Homo sapiens (human)"
"hsa04972",18,"Pancreatic secretion - Homo sapiens (human)"
"hsa05213",18,"Endometrial cancer - Homo sapiens (human)"
"hsa05218",18,"Melanoma - Homo sapiens (human)"
"hsa05219",18,"Bladder cancer - Homo sapiens (human)"
"hsa04340",17,"Hedgehog signaling pathway - Homo sapiens (human)"
"hsa04911",17,"Insulin secretion - Homo sapiens (human)"
"hsa04917",17,"Prolactin signaling pathway - Homo sapiens (human)"
"hsa04922",17,"Glucagon signaling pathway - Homo sapiens (human)"
"hsa04976",17,"Bile secretion - Homo sapiens (human)"
"hsa00510",16,"N-Glycan biosynthesis - Homo sapiens (human)"
"hsa03010",16,"Ribosome - Homo sapiens (human)"
"hsa04260",16,"Cardiac muscle contraction - Homo sapiens (human)"
"hsa04370",16,"VEGF signaling pathway - Homo sapiens (human)"
"hsa04540",16,"Gap junction - Homo sapiens (human)"
"hsa04610",16,"Complement and coagulation cascades - Homo sapiens (human)"
"hsa04664",16,"Fc epsilon RI signaling pathway - Homo sapiens (human)"
"hsa05230",16,"Central carbon metabolism in cancer - Homo sapiens (human)"
"hsa05416",16,"Viral myocarditis - Homo sapiens (human)"
"hsa00310",15,"Lysine degradation - Homo sapiens (human)"
"hsa03460",15,"Fanconi anemia pathway - Homo sapiens (human)"
"hsa04612",15,"Antigen processing and presentation - Homo sapiens (human)"
"hsa04720",15,"Long-term potentiation - Homo sapiens (human)"
"hsa04721",15,"Synaptic vesicle cycle - Homo sapiens (human)"
"hsa04927",15,"Cortisol synthesis and secretion - Homo sapiens (human)"
"hsa04971",15,"Gastric acid secretion - Homo sapiens (human)"
"hsa00240",14,"Pyrimidine metabolism - Homo sapiens (human)"
"hsa00513",14,"Various types of N-glycan biosynthesis - Homo sapiens (human)"
"hsa00600",14,"Sphingolipid metabolism - Homo sapiens (human)"
"hsa03420",14,"Nucleotide excision repair - Homo sapiens (human)"
"hsa04962",14,"Vasopressin-regulated water reabsorption - Homo sapiens (human)"
"hsa04216",13,"Ferroptosis - Homo sapiens (human)"
"hsa04742",13,"Taste transduction - Homo sapiens (human)"
"hsa04940",13,"Type I diabetes mellitus - Homo sapiens (human)"
"hsa04961",13,"Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)"
"hsa00480",12,"Glutathione metabolism - Homo sapiens (human)"
"hsa00561",12,"Glycerolipid metabolism - Homo sapiens (human)"
"hsa00970",12,"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"
"hsa00980",12,"Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)"
"hsa03320",12,"PPAR signaling pathway - Homo sapiens (human)"
"hsa04918",12,"Thyroid hormone synthesis - Homo sapiens (human)"
"hsa05031",12,"Amphetamine addiction - Homo sapiens (human)"
"hsa00010",11,"Glycolysis / Gluconeogenesis - Homo sapiens (human)"
"hsa00514",11,"Other types of O-glycan biosynthesis - Homo sapiens (human)"
"hsa03060",11,"Protein export - Homo sapiens (human)"
"hsa04213",11,"Longevity regulating pathway - multiple species - Homo sapiens (human)"
"hsa04215",11,"Apoptosis - multiple species - Homo sapiens (human)"
"hsa04924",11,"Renin secretion - Homo sapiens (human)"
"hsa05100",11,"Bacterial invasion of epithelial cells - Homo sapiens (human)"
"hsa05110",11,"Vibrio cholerae infection - Homo sapiens (human)"
"hsa05216",11,"Thyroid cancer - Homo sapiens (human)"
"hsa05332",11,"Graft-versus-host disease - Homo sapiens (human)"
"hsa00330",10,"Arginine and proline metabolism - Homo sapiens (human)"
"hsa00830",10,"Retinol metabolism - Homo sapiens (human)"
"hsa01212",10,"Fatty acid metabolism - Homo sapiens (human)"
"hsa02010",10,"ABC transporters - Homo sapiens (human)"
"hsa03440",10,"Homologous recombination - Homo sapiens (human)"
"hsa04730",10,"Long-term depression - Homo sapiens (human)"
"hsa04923",10,"Regulation of lipolysis in adipocytes - Homo sapiens (human)"
"hsa04973",10,"Carbohydrate digestion and absorption - Homo sapiens (human)"
"hsa04978",10,"Mineral absorption - Homo sapiens (human)"
"hsa05204",10,"Chemical carcinogenesis - DNA adducts - Homo sapiens (human)"
"hsa05320",10,"Autoimmune thyroid disease - Homo sapiens (human)"
"hsa05330",10,"Allograft rejection - Homo sapiens (human)"
"hsa05340",10,"Primary immunodeficiency - Homo sapiens (human)"
"hsa00051",9,"Fructose and mannose metabolism - Homo sapiens (human)"
"hsa00140",9,"Steroid hormone biosynthesis - Homo sapiens (human)"
"hsa00270",9,"Cysteine and methionine metabolism - Homo sapiens (human)"
"hsa00500",9,"Starch and sucrose metabolism - Homo sapiens (human)"
"hsa00511",9,"Other glycan degradation - Homo sapiens (human)"
"hsa00520",9,"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"
"hsa00534",9,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)"
"hsa00565",9,"Ether lipid metabolism - Homo sapiens (human)"
"hsa00982",9,"Drug metabolism - cytochrome P450 - Homo sapiens (human)"
"hsa00983",9,"Drug metabolism - other enzymes - Homo sapiens (human)"
"hsa01523",9,"Antifolate resistance - Homo sapiens (human)"
"hsa03030",9,"DNA replication - Homo sapiens (human)"
"hsa03050",9,"Proteasome - Homo sapiens (human)"
"hsa03410",9,"Base excision repair - Homo sapiens (human)"
"hsa04130",9,"SNARE interactions in vesicular transport - Homo sapiens (human)"
"hsa05030",9,"Cocaine addiction - Homo sapiens (human)"
"hsa05143",9,"African trypanosomiasis - Homo sapiens (human)"
"hsa00030",8,"Pentose phosphate pathway - Homo sapiens (human)"
"hsa00260",8,"Glycine, serine and threonine metabolism - Homo sapiens (human)"
