"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0004691",0.828575923006789,0.522951372082139,1,6,"cAMP-dependent protein kinase activity","MF",1,0.000233317778814746
"GO:0005254",0.828604255169245,0.253089632780067,15,72,"chloride channel activity","MF",1,0.00349976668222119
"GO:0030620",0.828611140153002,0.522891202149045,1,6,"U2 snRNA binding","MF",1,0.000233317778814746
"GO:0016725",0.82909392153058,0.411282763394974,2,12,"oxidoreductase activity, acting on CH or CH2 groups","MF",1,0.000466635557629491
"GO:0050693",0.829796879574891,0.520860582183441,1,6,"LBD domain binding","MF",1,0.000233317778814746
"GO:0016018",0.829928339660763,0.409938555711857,2,12,"cyclosporin A binding","MF",1,0.000466635557629491
"GO:0005326",0.830469573381215,0.36213585369461,3,17,"neurotransmitter transmembrane transporter activity","MF",1,0.000699953336444237
"GO:0005353",0.830539890620709,0.519583441118078,1,6,"fructose transmembrane transporter activity","MF",1,0.000233317778814746
"GO:0004521",0.831543825675643,0.252285442529874,14,68,"RNA endonuclease activity","MF",1,0.00326644890340644
"GO:0003836",0.831983458160874,0.517091680907316,1,6,"beta-galactoside (CMP) alpha-2,3-sialyltransferase activity","MF",1,0.000233317778814746
"GO:1990935",0.831990652176907,0.517079228494516,1,6,"splicing factor binding","MF",1,0.000233317778814746
"GO:0015297",0.832501336853879,0.227891386720965,26,120,"antiporter activity","MF",1,0.00606626224918339
"GO:0016405",0.832576240332359,0.31232562146664,5,27,"CoA-ligase activity","MF",1,0.00116658889407373
"GO:0048495",0.83485806089647,0.512088205013602,1,6,"Roundabout binding","MF",1,0.000233317778814746
"GO:0071837",0.83539612072146,0.401052830404094,2,12,"HMG box domain binding","MF",1,0.000466635557629491
"GO:0070411",0.835599697190253,0.356102752782296,3,16,"I-SMAD binding","MF",1,0.000699953336444237
"GO:0032405",0.835728540426112,0.510562010683451,1,6,"MutLalpha complex binding","MF",1,0.000233317778814746
"GO:0106019",0.83627760735643,0.399607566330424,2,12,"phosphatidylinositol-4,5-bisphosphate phosphatase activity","MF",1,0.000466635557629491
"GO:0050321",0.836394028097121,0.326658202558401,4,21,"tau-protein kinase activity","MF",1,0.000933271115258983
"GO:0008510",0.836660897876945,0.508921563876238,1,6,"sodium:bicarbonate symporter activity","MF",1,0.000233317778814746
"GO:0015129",0.838631895843593,0.505433871922098,1,6,"lactate transmembrane transporter activity","MF",1,0.000233317778814746
"GO:0047238",0.838778197033148,0.505173911646687,1,6,"glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity","MF",1,0.000233317778814746
"GO:0016421",0.839136127013554,0.504537278824857,1,6,"CoA carboxylase activity","MF",1,0.000233317778814746
"GO:0036041",0.839685736869244,0.39398568550438,2,12,"long-chain fatty acid binding","MF",1,0.000466635557629491
"GO:0016251",0.839974213790062,0.269415661835293,8,42,"RNA polymerase II general transcription initiation factor activity","MF",1,0.00186654223051797
"GO:0030169",0.840133266174246,0.34713644693574,3,17,"low-density lipoprotein particle binding","MF",1,0.000699953336444237
"GO:0015145",0.840472899245847,0.31929734936353,4,22,"monosaccharide transmembrane transporter activity","MF",1,0.000933271115258983
"GO:0016701",0.840537351423081,0.318099423620648,4,23,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF",1,0.000933271115258983
"GO:0008173",0.841312977060371,0.242881981408075,13,64,"RNA methyltransferase activity","MF",1,0.00303313112459169
"GO:0050998",0.841826540220272,0.390426323606325,2,12,"nitric-oxide synthase binding","MF",1,0.000466635557629491
"GO:0022829",0.841921155656128,0.297934508634933,5,28,"wide pore channel activity","MF",1,0.00116658889407373
"GO:0140955",0.842224760535685,0.499006029065118,1,6,"histone H3K36 trimethyltransferase activity","MF",1,0.000233317778814746
"GO:0099106",0.842232026158282,0.208415317459019,34,155,"ion channel regulator activity","MF",1,0.00793280447970135
"GO:0030955",0.842482776180123,0.389330862793225,2,12,"potassium ion binding","MF",1,0.000466635557629491
"GO:0015144",0.84284293445503,0.283989025307738,6,32,"carbohydrate transmembrane transporter activity","MF",1,0.00139990667288847
"GO:0008276",0.843292311390807,0.22526674933343,19,89,"protein methyltransferase activity","MF",1,0.00443303779748017
"GO:0099530",0.843516126800271,0.496673162192941,1,6,"G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential","MF",1,0.000233317778814746
"GO:0016500",0.843642259301938,0.341604621798093,3,17,"protein-hormone receptor activity","MF",1,0.000699953336444237
"GO:0003828",0.844224997671368,0.495387442653604,1,6,"alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity","MF",1,0.000233317778814746
"GO:0005049",0.844417674972078,0.386088821069558,2,12,"nuclear export signal receptor activity","MF",1,0.000466635557629491
"GO:0008327",0.844963734287042,0.31248780886605,4,22,"methyl-CpG binding","MF",1,0.000933271115258983
"GO:0070840",0.84538250109249,0.311849517714817,4,22,"dynein complex binding","MF",1,0.000933271115258983
"GO:0071813",0.845865709610018,0.292920072121703,5,27,"lipoprotein particle binding","MF",1,0.00116658889407373
"GO:0071814",0.845865709610018,0.292920072121703,5,27,"protein-lipid complex binding","MF",1,0.00116658889407373
"GO:0015399",0.84657815151854,0.205620238594455,31,143,"primary active transmembrane transporter activity","MF",1,0.00723285114325712
